Département,Ville ,code postal,population,superficie
2,MONTAIGU,2820,700,23.51
2,MOULINS,2160,100,1.6
2,SAULCHERY,2310,700,2.63
2,NANTEUIL-LA-FOSSE,2880,100,7.36
2,GUIGNICOURT,2190,2100,17.74
2,BUCY-LE-LONG,2880,2000,12.86
2,LONGPONT,2600,300,10.94
2,MONTGOBERT,2600,200,11.18
2,NOIRCOURT,2340,100,5.45
2,ROZET-SAINT-ALBIN,2210,300,7.95
2,CHIVY-LES-ETOUVELLES,2000,500,3.54
2,CHAVONNE,2370,200,3.62
2,ARTONGES,2330,200,13.12
2,OISY,2450,400,10.79
2,JUVIGNY,2880,300,13.85
2,MARCHAIS-EN-BRIE,2540,300,12.78
2,BOUCONVILLE-VAUCLAIR,2860,200,13.04
2,LA BOUTEILLE,2140,500,19
2,LY-FONTAINE,2440,100,3.47
2,LOGNY-LES-AUBENTON,2500,100,8.15
2,CUIRIEUX,2350,200,6.46
2,IRON,2510,200,9.51
2,JONCOURT,2420,300,7.25
2,EFFRY,2500,400,2.77
2,JUMIGNY,2160,100,2.49
2,CHAOURSE,2340,600,18.6
2,SAINT-REMY-BLANZY,2210,200,13.99
2,BEAUMONT-EN-BEINE,2300,200,5.41
2,LE PLESSIER-HULEU,2210,100,5.2
2,ESTREES,2420,400,7.04
2,BAULNE-EN-BRIE,2330,300,18.89
2,GUIVRY,2300,300,7.15
2,VARISCOURT,2190,200,5.56
2,CHATILLON-SUR-OISE,2240,100,2.62
2,SOISSONS,2200,28500,12.32
2,BRAY-SAINT-CHRISTOPHE,2480,100,2.88
2,LE HERIE-LA-VIEVILLE,2120,200,9.27
2,AUBENTON,2500,700,23.7
2,BRAYE,2880,100,1.34
2,BRISSAY-CHOIGNY,2240,300,8.98
2,REMAUCOURT,2100,300,6.35
2,SERAUCOURT-LE-GRAND,2790,800,10.56
2,BERRY-AU-BAC,2190,500,8.1
2,VIVAISE,2870,800,9.02
2,PROVISEUX-ET-PLESNOY,2190,100,11.21
2,CAUMONT,2300,600,5.71
2,VILLERS-LE-SEC,2240,300,10.57
2,VICHEL-NANTEUIL,2210,100,6.39
2,ROMERY,2120,100,3.96
2,FONTAINE-LES-CLERCS,2680,300,5.33
2,CHERY-LES-POUILLY,2000,700,17.22
2,PITHON,2480,100,2.44
2,BEAURIEUX,2160,800,9.69
2,SINCENY,2300,2200,13.13
2,BOUFFIGNEREUX,2160,100,4.36
2,SAINT-GENGOULPH,2810,100,7.57
2,PARGNY-LES-BOIS,2270,100,6.83
2,MONTIGNY-L'ALLIER,2810,300,10.14
2,BEUVARDES,2130,700,15.66
2,CUISSY-ET-GENY,2160,100,4.97
2,REUILLY-SAUVIGNY,2850,200,6.54
2,VAILLY-SUR-AISNE,2370,2100,9.97
2,BIEVRES,2860,100,2.64
2,BERNY-RIVIERE,2290,600,7.87
2,PERLES,2160,100,3.7
2,FONTENELLE-EN-BRIE,2540,200,8.47
2,NEUFLIEUX,2300,100,1.9
2,SAINTE-CROIX,2820,100,3.35
2,PARGNY-LA-DHUYS,2330,200,12.66
2,BRENELLE,2220,200,4.34
2,URVILLERS,2690,600,13.69
2,LAVERSINE,2600,100,7.22
2,ORIGNY-SAINTE-BENOITE,2390,1700,23.3
2,CUIRY-HOUSSE,2220,100,8.54
2,LA NEUVILLE-LES-DORENGT,2450,400,10.88
2,BLANZY-LES-FISMES,2160,100,5.27
2,HARGICOURT,2420,500,8.12
2,VILLERS-SUR-FERE,2130,500,10.79
2,LA HERIE,2500,200,4.22
2,BONNESVALYN,2400,200,6.34
2,HAUTION,2140,100,9.34
2,BERZY-LE-SEC,2200,400,11.69
2,LA VALLEE-AU-BLE,2140,300,5.17
2,LE CATELET,2420,200,0.41
2,GIZY,2350,700,10.25
2,SAINT-ALGIS,2260,200,6.89
2,SAINT-AUBIN,2300,300,8.36
2,BANCIGNY,2140,0,3.32
2,VILLENEUVE-SUR-FERE,2130,300,10.3
2,FLEURY,2600,100,6.51
2,QUINCY-SOUS-LE-MONT,2220,100,5.04
2,BESNY-ET-LOIZY,2870,400,9.76
2,CHERY-LES-ROZOY,2360,100,4.73
2,CHAUNY,2300,12100,13.28
2,SOMMETTE-EAUCOURT,2480,100,6.28
2,LIERVAL,2860,100,3.77
2,CHEZY-SUR-MARNE,2570,1300,22.43
2,OULCHES-LA-VALLEE-FOULON,2160,100,4.45
2,ANIZY-LE-CHATEAU,2320,1900,9.49
2,MAIZY,2160,400,7.09
2,FOURDRAIN,2870,400,9.45
2,NAMPTEUIL-SOUS-MURET,2200,100,3.38
2,URCEL,2000,600,7.2
2,LOUATRE,2600,200,11.02
2,BARZY-EN-THIERACHE,2170,300,7.63
2,CONDE-EN-BRIE,2330,700,4.56
2,DAMPLEUX,2600,400,8.19
2,SOMMELANS,2470,100,4.28
2,PONTRUET,2490,300,6.75
2,OIGNY-EN-VALOIS,2600,200,11.88
2,LOUPEIGNE,2130,100,7.3
2,LHUYS,2220,100,4.95
2,EPARCY,2500,0,7.52
2,LA CHAPELLE-MONTHODON,2330,200,14.28
2,MORSAIN,2290,400,14.34
2,JAULGONNE,2850,700,1.78
2,CHERMIZY-AILLES,2860,100,10.95
2,BECQUIGNY,2110,300,4.67
2,FESTIEUX,2840,500,6.67
2,VILLERS-LES-GUISE,2120,200,8.06
2,NAMPCELLES-LA-COUR,2140,100,10.89
2,MONTIGNY-EN-ARROUAISE,2110,300,9.77
2,BERRIEUX,2820,200,4.98
2,CHIGNY,2120,200,10.47
2,MURET-ET-CROUTTES,2210,100,5.24
2,FLAVIGNY-LE-GRAND-ET-BEAURAIN,2120,500,13.63
2,LAON,2000,26200,42
2,SAINT-CLEMENT,2360,100,5.01
2,DERCY,2270,400,11.17
2,ANGUILCOURT-LE-SART,2800,300,9.14
2,VILLERS-EN-PRAYERES,2160,100,5.74
2,CHALANDRY,2270,200,7.66
2,LAVAL-EN-LAONNOIS,2860,300,4.51
2,FRESSANCOURT,2800,200,2.51
2,LE SOURD,2140,200,7.36
2,FONTAINE-NOTRE-DAME,2110,400,11.9
2,CHERY-CHARTREUVE,2220,300,13.69
2,MORTEFONTAINE,2600,200,11.9
2,SERAIN,2110,400,6.65
2,MAAST-ET-VIOLAINE,2220,200,10.96
2,NEUVILLE-SUR-AILETTE,2860,100,4.45
2,FRANCILLY-SELENCY,2760,500,5.43
2,BEZU-LE-GUERY,2310,300,11.1
2,MARLE,2250,2400,13.79
2,LEME,2140,500,11.36
2,CIERGES,2130,100,8.22
2,CRAONNE,2160,100,8.62
2,COURTEMONT-VARENNES,2850,300,5.98
2,POMMIERS,2200,600,6.69
2,GLAND,2400,500,5.65
2,LANDOUZY-LA-COUR,2140,100,10.12
2,MONTIGNY-LES-CONDE,2330,100,4.77
2,LEUILLY-SOUS-COUCY,2380,400,12.69
2,PLOISY,2200,100,2.87
2,SERVAL,2160,0,2.14
2,BILLY-SUR-OURCQ,2210,200,10.17
2,AMBRIEF,2200,100,4.5
2,PRISCES,2140,100,6.63
2,ROUPY,2590,200,5.9
2,RONCHERES,2130,100,6.06
2,LUGNY,2140,100,4.77
2,CHEZY-EN-ORXOIS,2810,400,16.15
2,DHUIZEL,2220,100,6.81
2,ETAMPES-SUR-MARNE,2400,1200,2.24
2,VAUX-EN-VERMANDOIS,2590,200,3.85
2,BOUE,2450,1200,10.44
2,LA FERE,2800,3000,6.73
2,SAINT-MICHEL,2830,3500,42.2
2,CASTRES,2680,200,5.71
2,MESBRECOURT-RICHECOURT,2270,300,8.98
2,BEUGNEUX,2210,100,7.68
2,CLERMONT-LES-FERMES,2340,100,9.3
2,CONDREN,2700,700,5.58
2,FRANQUEVILLE,2140,100,3.04
